Donor_ID,Interest_Keywords,Engagement_Score,Legacy_Intent_Probability,Legacy_Intent_Binary,Board_Affiliations,Estimated_Age
770487,"Faculty Development, Research, Social Justice",36.0,0.1,False,,
216739,Technology,60.1,0.1,True,,
126225,Global Programs,36.0,0.4,False,,73.0
877572,"Social Justice, Athletics",34.0,0.1,False,,
388389,Research,26.0,0.1,True,,37.0
356787,Research,38.0,0.1,False,,34.0
334053,"Social Justice, Infrastructure",50.0,0.1,False,,
246316,Arts,53.7,0.4,False,,79.0
872246,"Global Programs, Arts",56.2,0.1,False,,
207473,Social Justice,23.5,0.1,False,,
809570,Environment,54.1,0.1,False,,
876646,Student Support,73.4,0.25,True,,
671858,"Social Justice, Arts, Technology",43.6,0.1,False,,37.0
191161,Education,60.2,0.35,False,,
719176,"Technology, Athletics",60.1,0.1,False,,43.0
542417,"Social Justice, Healthcare",33.0,0.1,False,,45.0
133326,"Infrastructure, Faculty Development",40.4,0.1,False,,35.0
131244,"Faculty Development, Global Programs, Healthcare",42.3,0.1,True,,
198246,"Education, Faculty Development, Athletics",31.0,0.4,True,,66.0
329258,"Research, Education, Healthcare",77.4,0.45,False,,
343962,"Athletics, Student Support",26.0,0.3,True,,56.0
629903,"Technology, Global Programs, Infrastructure",45.2,0.3,False,,61.0
731262,"Infrastructure, Social Justice, Research",42.9,0.1,False,,
127824,"Faculty Development, Athletics, Healthcare",53.4,0.1,False,,45.0
688508,Faculty Development,87.0,0.45,False,,44.0
308496,Environment,62.2,0.1,False,,
850800,Arts,66.1,0.3,False,,63.0
781453,"Environment, Global Programs",60.3,0.35,False,,40.0
835392,"Education, Global Programs",35.1,0.1,True,,55.0
671412,Research,41.5,0.4,False,,69.0
539898,"Arts, Athletics",31.2,0.25,False,"Nonprofit Board, Corporate Board",
331148,Healthcare,40.1,0.1,False,,42.0
571029,"Faculty Development, Arts, Global Programs",48.9,0.1,False,,
717889,"Technology, Research, Healthcare",26.0,0.1,False,,
391704,"Education, Technology, Student Support",24.8,0.1,False,,50.0
948749,Global Programs,47.9,0.1,False,,35.0
106814,"Faculty Development, Global Programs",43.0,0.1,False,,
895667,"Technology, Education, Athletics",60.7,0.25,False,,
944962,"Social Justice, Faculty Development",60.6,0.1,False,,
267414,"Environment, Education",38.0,0.1,True,,
832052,"Technology, Social Justice, Research",41.0,0.1,False,,
543143,Social Justice,23.0,0.1,True,,40.0
456778,Infrastructure,34.0,0.1,False,,
391369,Faculty Development,21.0,0.3,False,,59.0
263032,"Research, Faculty Development",50.1,0.3,False,,62.0
325772,Education,40.0,0.1,False,,
900581,Environment,75.6,0.65,True,,58.0
452944,Arts,45.0,0.4,True,,70.0
207175,Infrastructure,34.0,0.1,False,,33.0
197251,"Faculty Development, Research",21.7,0.3,True,,59.0
498382,Healthcare,50.1,0.1,False,,
201414,Faculty Development,41.9,0.25,False,,
476417,"Student Support, Education",42.2,0.1,False,,37.0
988662,"Environment, Student Support",33.2,0.1,False,,
460663,Research,33.3,0.1,False,,35.0
733052,Research,60.0,0.4,True,,78.0
377370,Student Support,53.7,0.4,True,,71.0
946335,"Infrastructure, Global Programs",26.0,0.1,False,,
145561,"Arts, Social Justice",69.8,0.25,False,,50.0
865179,"Faculty Development, Environment",21.0,0.1,False,,
581741,Social Justice,32.0,0.1,False,,
662275,"Environment, Faculty Development, Global Programs",68.7,0.3,False,,61.0
230889,"Technology, Infrastructure, Athletics",38.2,0.1,False,,40.0
496922,"Infrastructure, Social Justice",23.0,0.1,False,,
182627,Healthcare,23.0,0.1,False,,
678856,Research,62.1,0.1,False,,43.0
407419,"Global Programs, Education, Research",30.2,0.3,False,,60.0
969693,Education,58.0,0.1,False,,
759176,"Technology, Social Justice, Environment",31.2,0.1,False,,43.0
748564,Research,65.6,0.1,False,,52.0
479201,Research,39.0,0.1,False,,
705397,Social Justice,62.6,0.25,False,,44.0
301629,"Environment, Athletics, Education",29.0,0.1,True,,54.0
838797,"Global Programs, Infrastructure, Environment",43.2,0.1,False,,
172933,Environment,51.0,0.1,False,,54.0
