Donor_ID,Family_ID,Relationship_Type
388389,12881,Head
356787,12550,Child
334053,12028,Head
809570,13045,Head
191161,13949,Spouse
133326,10841,Head
198246,12640,Spouse
329258,14816,Spouse
127824,13711,Parent
671412,10563,Child
391704,13405,Head
948749,11989,Child
944962,15430,Parent
267414,12259,Parent
543143,11733,Head
733052,14592,Sibling
377370,13748,Spouse
946335,10894,Head
496922,13458,Sibling
182627,14755,Child
678856,11467,Head
969693,11563,Head
479201,13204,Head
705397,12762,Spouse
498591,13369,Head
974628,13872,Spouse
488162,10542,Head
319684,14197,Head
379946,14953,Spouse
584714,11854,Spouse
771088,12868,Child
821590,11250,Head
983794,13585,Head
905635,15347,Spouse
380746,12998,Head
169403,11411,Head
321231,14954,Child
694731,10681,Child
249811,14697,Spouse
358607,11726,Spouse
881177,11233,Parent
688637,15264,Child
518801,15378,Sibling
479580,15270,Spouse
892495,13531,Child
149405,11709,Head
214975,10340,Head
260265,11104,Spouse
757924,13696,Sibling
267753,14571,Head
930555,12051,Spouse
813536,14001,Head
725380,10156,Head
503457,13659,Head
590785,13062,Spouse
654816,12319,Head
680099,11787,Head
112038,12221,Head
220116,14722,Spouse
663054,11152,Head
216970,13359,Head
407757,12062,Spouse
555884,11596,Head
103402,10448,Spouse
898975,14515,Head
632323,11207,Spouse
738551,10852,Spouse
308573,12642,Parent
260263,14080,Head
665579,13625,Spouse
916449,12874,Spouse
100599,10475,Child
612340,10552,Child
217301,12843,Spouse
422451,10632,Spouse
352572,12071,Head
867460,14977,Head
955662,10476,Head
791798,12357,Child
377932,13656,Spouse
653306,14531,Sibling
322086,12474,Spouse
665492,14476,Spouse
865388,13237,Parent
310922,12652,Head
426858,12139,Spouse
804314,11568,Head
573417,12815,Head
226882,13246,Head
167136,14049,Head
454508,13830,Head
680828,13875,Spouse
341292,10974,Head
446479,13681,Head
392004,11993,Head
608993,10265,Spouse
324643,14974,Head
665427,12500,Head
698782,11186,Head
946721,13711,Head
526833,14701,Spouse
201639,10173,Spouse
531071,13188,Spouse
589710,11754,Head
785197,11405,Parent
777568,11274,Spouse
163556,11511,Head
455784,14188,Head
939482,10535,Spouse
214576,12675,Head
360735,12747,Head
392075,15425,Spouse
947272,12756,Spouse
997546,10858,Head
202664,11076,Head
783823,11110,Head
666847,12943,Spouse
989921,12702,Sibling
347861,12165,Spouse
274389,11709,Spouse
526156,12623,Parent
497382,11655,Head
378085,14445,Spouse
577110,13224,Head
794022,13671,Head
328275,12262,Head
707314,14837,Sibling
428838,14288,Parent
599948,10007,Spouse
627276,10585,Head
294851,14399,Sibling
723939,11117,Spouse
171262,13033,Parent
808011,12840,Head
749468,14305,Head
185965,11106,Sibling
712024,12631,Spouse
648177,10410,Head
850981,10115,Parent
429445,11623,Head
350280,14291,Head
378517,12592,Head
431535,10909,Spouse
109767,12237,Spouse
580547,12583,Head
204837,10054,Spouse
172132,11603,Spouse
265409,10815,Child
559469,10468,Parent
974244,12858,Sibling
785743,12626,Spouse
956795,15310,Child
240814,10581,Spouse
221035,10631,Head
212235,15246,Head
878480,10076,Parent
459536,14474,Spouse
376807,14709,Spouse
544151,11157,Head
390120,10926,Spouse
146228,13742,Spouse
237174,13088,Spouse
768061,11142,Child
563298,12147,Parent
975136,10427,Head
679364,10321,Parent
255287,10034,Head
423232,11025,Spouse
482364,14672,Head
815198,12545,Sibling
750810,12050,Sibling
262060,14033,Spouse
950155,15139,Head
285652,10048,Sibling
532322,12226,Child
872343,10521,Spouse
941204,12929,Child
266931,13171,Head
