Donor_ID,Family_ID,Relationship_Type
877572,41655,Child
246316,25800,Parent
872246,40706,Spouse
809570,25427,Head
542417,42086,Child
671412,27305,Head
539898,17522,Child
944962,40644,Head
267414,39778,Head
452944,40965,Spouse
207175,15481,Head
197251,17191,Head
865179,36823,Child
407419,14152,Head
996865,16021,Child
835911,26202,Spouse
174870,21570,Child
738720,12041,Head
330283,25648,Child
440035,32057,Child
520651,21467,Child
380746,16434,Head
581141,14423,Spouse
249811,11402,Head
479580,33757,Head
634277,38372,Spouse
260265,14057,Spouse
813536,28832,Spouse
725380,33489,Spouse
500156,18827,Head
724834,30526,Head
590785,38419,Head
363626,16421,Spouse
663054,36619,Child
379786,19226,Spouse
898975,31970,Head
412942,13765,Head
260263,20028,Head
439902,21829,Head
480612,15381,Spouse
351083,21854,Head
352572,27155,Head
182582,37752,Child
867460,20966,Head
955662,33702,Head
903035,32506,Head
273148,19337,Head
653306,31631,Spouse
781446,10962,Head
161733,18203,Child
170674,11491,Child
589710,20390,Head
863587,20413,Child
939482,10333,Head
662336,28602,Child
585100,25250,Head
361941,28119,Head
677057,40104,Child
202664,11849,Head
153045,23233,Head
274389,21808,Head
161483,12893,Spouse
272634,27887,Head
509386,28511,Head
865990,36134,Head
161324,15757,Child
707314,22001,Spouse
668532,10284,Spouse
656926,10785,Spouse
184002,10834,Spouse
723939,26822,Head
346629,14675,Head
358175,23693,Spouse
539589,36999,Head
429445,11208,Spouse
237235,37134,Spouse
804318,34721,Child
579434,19058,Head
356150,31093,Head
669605,36252,Child
681542,32806,Child
795613,29403,Spouse
768061,36721,Child
374680,42376,Spouse
110139,40383,Child
217308,20198,Spouse
672092,27512,Head
137778,36548,Child
934794,24744,Spouse
320281,37116,Child
207786,39703,Child
750810,15135,Spouse
885884,21763,Spouse
270395,27577,Spouse
288073,37633,Spouse
920391,41204,Spouse
925622,31725,Parent
835343,42239,Child
213346,19426,Head
338651,11589,Child
517821,12484,Child
444207,13408,Child
213668,23123,Head
636265,40366,Spouse
503906,14118,Child
704596,33457,Spouse
557239,10974,Head
645175,14911,Head
795612,42813,Spouse
989208,23651,Spouse
854717,32109,Child
414910,38048,Head
424308,39817,Child
799287,27245,Spouse
410016,31499,Head
525800,38329,Spouse
674553,16822,Spouse
974224,28498,Spouse
100425,19354,Head
749342,10128,Head
197923,37074,Head
346277,23313,Head
905819,30672,Spouse
703634,41948,Parent
618392,37306,Spouse
887443,34200,Head
239816,40648,Spouse
800005,38787,Spouse
571932,35207,Head
399607,35432,Spouse
384913,23932,Child
435239,25379,Spouse
666390,41703,Head
184491,15945,Spouse
827659,29990,Spouse
446954,19687,Head
668969,38970,Spouse
165290,13586,Head
998348,28094,Child
703655,17907,Spouse
498858,31095,Spouse
413118,16369,Child
883826,26930,Head
611945,37440,Spouse
557007,15069,Spouse
691807,39439,Head
152727,20929,Child
372793,10059,Child
321941,13638,Spouse
576786,17997,Child
442722,30400,Spouse
391773,11919,Parent
972335,10964,Head
542042,17025,Head
593152,34620,Child
132537,22485,Spouse
359295,33771,Head
259784,42640,Child
328552,17155,Head
486814,34944,Spouse
853252,40177,Spouse
959099,26449,Head
213349,26968,Spouse
910004,10258,Head
143064,38534,Spouse
793655,23523,Head
630538,38065,Child
990844,12213,Spouse
962276,12280,Spouse
284692,41009,Child
664315,40531,Spouse
190872,42619,Spouse
452737,33955,Spouse
130094,10799,Spouse
682789,19173,Child
526170,14539,Child
824156,30383,Head
332360,28379,Child
524045,33150,Spouse
825391,29325,Head
656711,41251,Head
677124,21356,Head
468900,29039,Spouse
575786,18847,Head
856321,20524,Head
661894,41496,Child
899213,41339,Child
718226,43210,Head
396745,41623,Head
410636,38031,Child
232731,39038,Head
831295,25761,Spouse
561865,14621,Spouse
600935,25210,Parent
219629,12658,Head
615633,27681,Head
901577,10973,Spouse
536390,31847,Spouse
725084,13504,Parent
