Donor_ID,Event_Name,Attendance_Date
617482,Alumni Reunion,2024-10-11
617482,Alumni Reunion,2022-10-05
617482,Holiday Mixer,2025-08-20
617482,Alumni Happy Hour Mixer,2018-05-06
499623,Alumni Reunion,2019-02-13
822937,Alumni Happy Hour Mixer,2023-12-18
427701,Alumni Happy Hour Mixer,2025-02-28
427701,Family Weekend Mixer,2019-07-21
223550,Alumni Reunion,2018-04-09
603618,Family Weekend Mixer,2023-08-26
603618,Holiday Mixer,2025-06-24
811029,Alumni Reunion,2015-07-02
811029,Family Weekend Mixer,2024-11-12
356677,Speaker Spotlight,2018-12-05
597462,Alumni Happy Hour Mixer,2020-07-16
851380,Alumni Happy Hour Mixer,2023-07-05
397451,Alumni Reunion,2021-03-11
399422,Alumni Baseball Game,2023-04-23
863050,Alumni Reunion,2025-04-06
993320,Alumni Baseball Game,2022-09-15
670221,Alumni Reunion,2017-09-11
670221,Alumni Baseball Game,2022-12-16
728498,Family Weekend Mixer,2021-06-14
974749,Alumni Happy Hour Mixer,2022-06-04
576553,Family Weekend Mixer,2017-05-27
626565,Alumni Reunion,2022-02-01
115535,Family Weekend Mixer,2024-03-21
188820,Faculty Meet and Greet,2022-02-10
720564,Family Weekend Mixer,2025-05-03
379562,Family Weekend Mixer,2025-10-11
952647,Family Weekend Mixer,2025-01-10
422497,Family Weekend Mixer,2022-07-08
512398,Alumni Reunion,2024-08-19
514933,Alumni Happy Hour Mixer,2025-04-28
690970,Alumni Reunion,2020-04-15
848254,Alumni Reunion,2018-02-07
848254,Alumni Baseball Game,2024-05-17
938692,Speaker Spotlight,2020-01-05
663719,Holiday Mixer,2023-07-13
685944,Alumni Baseball Game,2021-08-10
850736,Alumni Baseball Game,2021-10-01
752151,Alumni Happy Hour Mixer,2024-04-22
320442,Faculty Meet and Greet,2024-01-01
154725,Family Weekend Mixer,2020-11-24
770287,Family Weekend Mixer,2024-04-07
874685,Faculty Meet and Greet,2025-05-16
271408,Alumni Reunion,2022-08-06
300734,Alumni Happy Hour Mixer,2025-10-13
934941,Campus Tour,2023-08-25
499083,Speaker Spotlight,2023-02-02
913887,Alumni Baseball Game,2023-12-26
913887,Alumni Happy Hour Mixer,2019-03-09
212573,Alumni Reunion,2022-07-12
936651,Speaker Spotlight,2023-11-27
430266,Family Weekend Mixer,2020-11-08
430266,Alumni Baseball Game,2024-04-06
