Donor_ID,Family_ID,Relationship_Type
632469,34761,Spouse
465860,35507,Spouse
984434,23630,Head
613047,18924,Child
143704,38734,Child
620939,30324,Head
124505,13729,Head
326527,25959,Head
744591,32418,Child
478516,14885,Head
613342,21846,Spouse
939260,29853,Spouse
321349,19812,Child
692397,34624,Child
172526,35692,Head
670590,18338,Spouse
223620,26559,Head
871318,36119,Child
792611,14773,Head
989427,31815,Child
352623,22006,Spouse
460626,30176,Spouse
630290,11691,Spouse
580433,25935,Child
794903,28061,Child
293795,34036,Child
825523,18611,Spouse
273880,15173,Head
583309,30569,Spouse
624669,27282,Head
701606,24796,Spouse
843864,37149,Child
800213,18436,Head
630541,41491,Head
811313,15030,Head
240821,37385,Spouse
663532,15232,Head
320684,14231,Head
230549,28588,Child
627218,14657,Head
585585,14828,Spouse
291665,42166,Spouse
792016,22284,Head
780391,18060,Spouse
418855,19277,Head
559742,31072,Head
495226,11729,Spouse
896464,27852,Child
421934,38268,Head
931488,21403,Head
877417,11394,Head
948008,38795,Head
977363,40202,Head
521819,14217,Head
276033,17259,Spouse
850112,26298,Spouse
481868,39822,Spouse
657542,24562,Spouse
413853,10103,Spouse
904943,16346,Spouse
552569,26067,Spouse
452024,42853,Spouse
983531,32454,Child
102522,12512,Spouse
584313,36255,Head
347267,19842,Child
239738,40263,Parent
767821,36851,Spouse
388879,15016,Head
882384,28917,Head
782245,22312,Child
676117,25232,Child
397376,37397,Head
179318,20087,Child
156677,12454,Spouse
113183,36478,Head
525040,40386,Child
705175,13741,Head
503028,16809,Head
751110,19144,Child
605448,38099,Parent
860266,33130,Head
264769,28902,Spouse
791245,38045,Spouse
857941,12942,Spouse
447328,17137,Spouse
310306,25036,Head
569936,42862,Child
768378,27632,Spouse
690721,29539,Head
846538,39057,Child
468278,23529,Spouse
630987,13282,Head
970131,37303,Spouse
893344,31420,Head
719598,27108,Child
792489,29711,Spouse
429566,28220,Spouse
205624,17303,Spouse
745375,33174,Head
381315,34594,Child
104097,17108,Spouse
618193,29166,Child
497995,26763,Child
293792,13725,Head
